,date,price
0,1982-07-01,178.79
1,1982-07-02,180.65
2,1982-07-06,180.42
3,1982-07-07,179.3
4,1982-07-08,183.28
5,1982-07-09,190.49
6,1982-07-12,197.98
7,1982-07-13,204.64
8,1982-07-14,204.7
9,1982-07-15,203.43
10,1982-07-16,201.28
11,1982-07-19,200.29
12,1982-07-20,199.94
13,1982-07-21,208.71
14,1982-07-22,202
15,1982-07-23,205.6
16,1982-07-26,199.66
17,1982-07-27,199.98
18,1982-07-28,199.02
19,1982-07-29,197.07
20,1982-07-30,197.3
21,1982-08-02,200.34
22,1982-08-03,199.71
23,1982-08-04,200.37
24,1982-08-05,201.98
25,1982-08-06,201.11
26,1982-08-09,197.65
27,1982-08-10,199.23
28,1982-08-11,196.41
29,1982-08-12,197.11
30,1982-08-13,198.59
31,1982-08-16,200.7
32,1982-08-17,197.83
33,1982-08-18,207.48
34,1982-08-19,206.9
35,1982-08-20,221.94
36,1982-08-23,226.2
37,1982-08-24,230.66
38,1982-08-25,227.78
39,1982-08-26,236.93
40,1982-08-27,240.78
41,1982-08-30,235.41
42,1982-08-31,239.17
43,1982-09-01,235.51
44,1982-09-02,236.14
45,1982-09-03,262.93
46,1982-09-07,278.39
47,1982-09-08,266.12
48,1982-09-09,269.68
49,1982-09-10,264.53
50,1982-09-13,257.43
51,1982-09-14,266
52,1982-09-15,259.71
53,1982-09-16,262.66
54,1982-09-17,257.73
55,1982-09-20,248
56,1982-09-21,249.42
57,1982-09-22,257.74
58,1982-09-23,254.78
59,1982-09-24,252.27
60,1982-09-27,243.96
61,1982-09-28,242.83
62,1982-09-29,241.64
63,1982-09-30,234.29
64,1982-10-01,236.75
65,1982-10-04,230.2
66,1982-10-05,231.37
67,1982-10-06,238.7
68,1982-10-07,245.67
69,1982-10-08,254.03
70,1982-10-12,255.92
71,1982-10-13,250.92
72,1982-10-14,262.6
73,1982-10-15,253.81
74,1982-10-18,250.7
75,1982-10-19,258.64
76,1982-10-20,248.63
77,1982-10-21,255.06
